district,province,fiscal_year,overall_score_pct,rank,num_imihigo
Rulindo,Northern,2023/2024,67.5,23.0,
Nyabihu,Western,2023/2024,68.8,19.0,
Ngoma,Eastern,2024/2025,77.2,1.0,
Gisagara,Southern,2024/2025,76.6,2.0,
Nyagatare,Eastern,2024/2025,74.3,3.0,
Gakenke,Northern,2024/2025,74.2,4.0,
Gatsibo,Eastern,2024/2025,73.5,5.0,
Nyamagabe,Southern,2024/2025,73.5,6.0,
Muhanga,Southern,2024/2025,73.0,7.0,
Gicumbi,Northern,2024/2025,73.0,8.0,
Rwamagana,Eastern,2024/2025,72.7,9.0,
Kirehe,Eastern,2024/2025,72.7,10.0,
Bugesera,Eastern,2024/2025,72.6,11.0,
Kamonyi,Southern,2024/2025,72.5,12.0,
Nyamasheke,Western,2024/2025,71.9,13.0,
Nyaruguru,Southern,2024/2025,70.5,14.0,
Huye,Southern,2024/2025,68.8,15.0,
Ruhango,Southern,2024/2025,68.4,16.0,
Karongi,Western,2024/2025,67.4,17.0,
Rusizi,Western,2024/2025,66.9,18.0,
Burera,Northern,2024/2025,66.0,19.0,
Kayonza,Eastern,2024/2025,65.8,20.0,
Nyanza,Southern,2024/2025,65.6,21.0,
Ngororero,Western,2024/2025,65.0,22.0,
Musanze,Northern,2024/2025,64.1,23.0,
Rubavu,Western,2024/2025,62.6,24.0,
Rutsiro,Western,2024/2025,61.0,25.0,
Rulindo,Northern,2024/2025,59.1,26.0,
Nyabihu,Western,2024/2025,54.4,27.0,
City of Kigali,Kigali,2019/2020,63.16,,
City of Kigali,Kigali,2021/2022,75.53,,
City of Kigali,Kigali,2022/2023,59.9,,
City of Kigali,Kigali,2023/2024,65.3,,
City of Kigali,Kigali,2024/2025,59.3,,
